publn_nr,publn_year,permno_adj,IPC1,permno_year
52448156,1991,US000100,C11D_3/18,US0001001991
52448156,1991,US000100,A61Q_9/02,US0001001991
52448156,1991,US000100,A61Q_5/02,US0001001991
52448156,1991,US000100,C11D_1/34,US0001001991
52448156,1991,US000100,C11D_1/78,US0001001991
52448156,1991,US000100,A61K_8/55,US0001001991
52448156,1991,US000100,A61K_8/04,US0001001991
52448156,1991,US000100,A61Q_19/10,US0001001991
52687359,1991,US000100,A61Q_17/00,US0001001991
52687359,1991,US000100,A01N_31/02,US0001001991
52687359,1991,US000100,A01N_25/16,US0001001991
52687359,1991,US000100,A61Q_15/00,US0001001991
52687359,1991,US000100,A61Q_9/02,US0001001991
52687359,1991,US000100,A61K_8/11,US0001001991
52687359,1991,US000100,A61K_8/81,US0001001991
52687359,1991,US000100,A61K_8/04,US0001001991
52687359,1991,US000100,A61K_9/12,US0001001991
52687359,1991,US000100,A61K_8/39,US0001001991
52687359,1991,US000100,C09K_3/30,US0001001991
52693055,1991,US000100,C11D_1/28,US0001001991
52693055,1991,US000100,C11D_1/72,US0001001991
52693055,1991,US000100,C11D_1/835,US0001001991
52693055,1991,US000100,C11D_1/52,US0001001991
52693055,1991,US000100,C11D_3/37,US0001001991
52693055,1991,US000100,C11D_1/04,US0001001991
52693055,1991,US000100,C11D_1/66,US0001001991
52693055,1991,US000100,C11D_1/29,US0001001991
52693055,1991,US000100,C11D_1/62,US0001001991
52693055,1991,US000100,C11D_1/14,US0001001991
52693055,1991,US000100,C11D_1/34,US0001001991
52693055,1991,US000100,C11D_1/86,US0001001991
53011636,1991,US000100,A01N_25/06,US0001001991
53011636,1991,US000100,C09K_3/30,US0001001991
53011636,1991,US000100,B01J_13/00,US0001001991
53011636,1991,US000100,A01N_25/04,US0001001991
53011636,1991,US000100,C09D_5/02,US0001001991
53283061,1991,US000100,C09D_5/14,US0001001991
53283061,1991,US000100,C09D_133/14,US0001001991
53283061,1991,US000100,C09D_5/00,US0001001991
54853271,1991,US000100,C09G_1/16,US0001001991
1259990,1992,US000100,A01N_25/00,US0001001992
1259990,1992,US000100,A01N_41/04,US0001001992
14354656,1992,US000100,G01F_23/292,US0001001992
14354656,1992,US000100,G01P_5/18,US0001001992
14354656,1992,US000100,G01F_1/00,US0001001992
14354656,1992,US000100,G01P_3/68,US0001001992
14354656,1992,US000100,G01F_1/708,US0001001992
14354656,1992,US000100,G01P_21/02,US0001001992
15509727,1992,US000100,A01N_25/00,US0001001992
15509727,1992,US000100,A01N_41/04,US0001001992
16976648,1992,US000100,C09D_133/04,US0001001992
16976648,1992,US000100,B05D_7/00,US0001001992
16976648,1992,US000100,B05D_7/24,US0001001992
16976648,1992,US000100,F24F_13/02,US0001001992
16976648,1992,US000100,B05D_5/00,US0001001992
16976648,1992,US000100,C09D_133/06,US0001001992
16976648,1992,US000100,C09D_5/00,US0001001992
16976648,1992,US000100,B08B_17/04,US0001001992
16976648,1992,US000100,C08L_33/06,US0001001992
16976648,1992,US000100,C09D_133/00,US0001001992
18206860,1992,US000100,B65D_83/34,US0001001992
18206860,1992,US000100,B05B_11/00,US0001001992
18206860,1992,US000100,B65D_83/36,US0001001992
18206860,1992,US000100,B65D_83/14,US0001001992
18219489,1992,US000100,B05B_1/00,US0001001992
18219489,1992,US000100,B05B_11/00,US0001001992
18219489,1992,US000100,B29C_45/00,US0001001992
18219489,1992,US000100,B29C_45/14,US0001001992
18219489,1992,US000100,B29C_45/26,US0001001992
4405615,1992,US000100,A01N_47/22,US0001001992
4405615,1992,US000100,A01N_25/06,US0001001992
4405615,1992,US000100,A01N_57/16,US0001001992
53994049,1992,US000100,B05D_1/28,US0001001992
53994049,1992,US000100,B44C_1/10,US0001001992
53994049,1992,US000100,B44C_1/16,US0001001992
54355361,1992,US000100,H01R_13/66,US0001001992
54355361,1992,US000100,H01R_13/717,US0001001992
54355361,1992,US000100,H05B_3/06,US0001001992
54409637,1992,US000100,H05B_3/28,US0001001992
54409637,1992,US000100,H05B_3/26,US0001001992
54409637,1992,US000100,H05B_3/06,US0001001992
54409637,1992,US000100,H05B_3/14,US0001001992
8997882,1992,US000100,A23L_1/10,US0001001992
8997882,1992,US000100,A61K_31/715,US0001001992
8997882,1992,US000100,A61P_1/10,US0001001992
8997882,1992,US000100,A61K_9/107,US0001001992
8997882,1992,US000100,A23L_1/308,US0001001992
8997882,1992,US000100,A61K_36/68,US0001001992
1278762,1993,US000100,C11D_3/37,US0001001993
1278762,1993,US000100,D06L_1/12,US0001001993
1278762,1993,US000100,C11D_17/08,US0001001993
1278762,1993,US000100,C11D_3/382,US0001001993
1278762,1993,US000100,C11D_3/00,US0001001993
1278762,1993,US000100,C11D_1/90,US0001001993
1278762,1993,US000100,C11D_3/18,US0001001993
1278926,1993,US000100,C09D_5/02,US0001001993
14410756,1993,US000100,C11D_17/08,US0001001993
14410756,1993,US000100,C11D_3/382,US0001001993
14410756,1993,US000100,C11D_3/00,US0001001993
14410756,1993,US000100,C11D_1/90,US0001001993
14410756,1993,US000100,D06L_1/12,US0001001993
14410756,1993,US000100,C11D_3/37,US0001001993
14410756,1993,US000100,C11D_3/18,US0001001993
15521133,1993,US000100,B29C_65/02,US0001001993
15521133,1993,US000100,B29C_45/40,US0001001993
15521133,1993,US000100,B29C_45/38,US0001001993
15521133,1993,US000100,B29C_65/06,US0001001993
15521133,1993,US000100,B29L_22/00,US0001001993
15521133,1993,US000100,B29C_45/00,US0001001993
20422754,1993,US000100,B60S_3/06,US0001001993
20422754,1993,US000100,B60M_1/12,US0001001993
20422754,1993,US000100,B60S_3/00,US0001001993
42177571,1993,US000100,B65D_83/38,US0001001993
42177571,1993,US000100,B65D_83/00,US0001001993
42177571,1993,US000100,B01J_7/02,US0001001993
42177571,1993,US000100,B05B_9/04,US0001001993
42177571,1993,US000100,B65D_83/14,US0001001993
42177571,1993,US000100,B65D_83/16,US0001001993
1292387,1994,US000100,C08K_5/09,US0001001994
1292387,1994,US000100,D21H_19/20,US0001001994
1293285,1994,US000100,B65D_81/32,US0001001994
1293285,1994,US000100,B05B_11/00,US0001001994
1293285,1994,US000100,B65D_83/76,US0001001994
14463907,1994,US000100,C11D_7/02,US0001001994
14463907,1994,US000100,C09K_3/30,US0001001994
14463907,1994,US000100,D06L_1/02,US0001001994
14463907,1994,US000100,C11D_7/50,US0001001994
14463907,1994,US000100,C11D_17/00,US0001001994
15587979,1994,US000100,A01M_1/04,US0001001994
15587979,1994,US000100,A01M_1/14,US0001001994
32857230,1994,US000100,A47L_9/28,US0001001994
32857230,1994,US000100,A47L_5/28,US0001001994
32857230,1994,US000100,G01C_22/00,US0001001994
32857230,1994,US000100,G01N_21/47,US0001001994
32857230,1994,US000100,A47L_9/00,US0001001994
32857230,1994,US000100,G05D_1/02,US0001001994
4476411,1994,US000100,B65D_83/14,US0001001994
4476411,1994,US000100,B65D_83/38,US0001001994
4476411,1994,US000100,B65D_83/00,US0001001994
4476411,1994,US000100,B05B_9/04,US0001001994
4516259,1994,US000100,D21H_19/20,US0001001994
4516259,1994,US000100,D21H_19/14,US0001001994
4516259,1994,US000100,C08L_91/06,US0001001994
4516259,1994,US000100,D21H_21/16,US0001001994
4516259,1994,US000100,D21H_19/18,US0001001994
47251731,1994,US000100,B65D_83/16,US0001001994
47251731,1994,US000100,B05B_5/053,US0001001994
47251731,1994,US000100,B65D_83/14,US0001001994
47251731,1994,US000100,B05B_5/043,US0001001994
47251731,1994,US000100,B05B_5/16,US0001001994
48502215,1994,US000100,B65D_83/14,US0001001994
48502215,1994,US000100,B65B_31/00,US0001001994
49079317,1994,US000100,D06M_13/165,US0001001994
49079317,1994,US000100,C11D_3/39,US0001001994
49079317,1994,US000100,C11D_3/20,US0001001994
49079317,1994,US000100,D06M_11/32,US0001001994
49079317,1994,US000100,C11D_3/395,US0001001994
49079317,1994,US000100,C11D_3/42,US0001001994
49079317,1994,US000100,D06M_13/02,US0001001994
49568377,1994,US000100,B05B_7/30,US0001001994
49568377,1994,US000100,A01C_23/04,US0001001994
49568377,1994,US000100,B05B_15/00,US0001001994
49568377,1994,US000100,A01M_7/00,US0001001994
49616648,1994,US000100,B65D_83/16,US0001001994
49616648,1994,US000100,B65D_83/14,US0001001994
54869144,1994,US000100,B65D_83/00,US0001001994
54869144,1994,US000100,B65D_83/38,US0001001994
54869144,1994,US000100,B65D_83/14,US0001001994
54869144,1994,US000100,B05B_9/04,US0001001994
1311948,1995,US000100,A61K_8/04,US0001001995
1311948,1995,US000100,A61L_9/04,US0001001995
1311948,1995,US000100,A61Q_19/10,US0001001995
1311948,1995,US000100,A61L_9/00,US0001001995
1311948,1995,US000100,B01J_13/00,US0001001995
1311948,1995,US000100,A61Q_5/02,US0001001995
14513086,1995,US000100,C08F_2/06,US0001001995
14513086,1995,US000100,C08F_220/18,US0001001995
14513086,1995,US000100,C08F_220/28,US0001001995
14513086,1995,US000100,C08F_220/30,US0001001995
14517263,1995,US000100,C02F_1/00,US0001001995
14517263,1995,US000100,A61K_8/19,US0001001995
14517263,1995,US000100,A61K_8/96,US0001001995
14517263,1995,US000100,A61Q_19/00,US0001001995
14517263,1995,US000100,C02F_1/461,US0001001995
15528655,1995,US000100,A01M_1/20,US0001001995
1556161,1995,US000100,C11D_3/20,US0001001995
1556161,1995,US000100,C11D_3/33,US0001001995
1556161,1995,US000100,C11D_3/386,US0001001995
1556161,1995,US000100,C11D_3/30,US0001001995
1556161,1995,US000100,C11D_1/66,US0001001995
